name,freq
John,736
Sally,456
Tom,449
Ann,405
Mother,396
Lucinda,395
Jim,338
Jean,335
Betty,329
Dan,320
Anne,307
Dave,295
Nora,287
Gussie,282
Heriot,268
Sylvia,268
Peggy,267
Rhoda,255
Dad,254
Miss,248
Martin,235
Annie,223
Joe,217
Nancy,217
Mr.,215
Danny,213
Ingrid,206
Steve,205
Cal,204
Bob,200
Donaghue,197
Travis,192
Christmas,189
Sam,187
Tad,187
New York,175
American,171
Buddy,168
Jack,167
Ellen,165
Keigley,163
Sarah,157
Storm,157
George,154
Barry,151
CONTINUED,151
Bridhe,149
Dorothy,149
Aunt,147
Father,144
Lesley,143
Pauline,138
Ruth,132
Kenneth,131
Ethel,130
William,129
Ben,126
Henry,124
Milly,124
Parke,124
French,123
Peter,123
Barney,121
Roger,121
Donna,119
Robert,119
Jimmy,118
Washington,116
Gertrude,115
Jeff,115
Angus,114
Douglas,112
Jane,111
David,110
Miss Lucy,110
Billy,108
Martha,107
Brian,104
Doris,102
Mary,102
Hoey,100
Mattie,100
Larry,99
Sallie,99
Frank,97
Louis,96
Harry,95
Uncle,95
West,95
Edith,94
Lizzie,93
Irish,90
Madonna,90
Becky,89
Rene,89
Dora,88
Lord,88
Burke,85
Colin,83
Jackson,82
Chicago,81
Farmer,81
Miss Jane,81
Bill,80
British,80
Claire,78
Doctor Dave,78
Sophie,78
Tony,78
Willie,78
Beryl,77
Rose,77
Collin,76
Harvey,76
Helen,76
Pudge,76
Bobby,74
Continued,74
Elizabeth,74
Irma,74
Pat,74
Patty,74
Wilmer,74
James,73
Seton,73
Allen,72
God,72
Guy,71
Hetty,71
Daddy,70
Jason,70
Ollie,70
America,69
New,67
Nina,67
Paul,67
Peterina Ann,67
Rosalie,67
Laura,66
Susan,66
Virginia,66
Yoshigawa,66
Jerry,65
Trinket,65
Denby,64
Sherman,64
Aunt Abbie,63
Blake,63
Tommy,63
Kyrie,62
Nick,62
Rog,62
Hal,61
Norah,61
Carlotta,60
FARMER,60
Lucy,60
English,59
Johnny,59
Lloyd,57
Fox,56
Lolly,56
Trevanion,56
France,55
RUTH,55
Christine,54
Jake,54
Alicia,53
Anson,53
Aunt Emily,53
Doctor,53
Mercy,53
Minnie,53
Grandma,52
Kasia,52
Patterson,52
Tim,52
Antek,51
Ma,51
Marigold,51
Patricia,51
Russian,51
Selma,51
Ainslie,50
Blair,50
Irene,50
Mark,50
Steve Stone,50
FROM,49
Indian,49
Kari,49
Marianna,49
Phil,49
Byron,48
Gilbert,48
Josephine,48
Maisie,48
Mexican,48
Mona,48
Scot,48
Aunt Betty,47
Amy,46
Bridhe Donnoghue,46
Cora,46
Donald,46
Joan,46
Margaret,46
Peg,46
Silas,46
Amelia,45
Folkhouse,45
Kansas,45
Camilla,44
Captain,44
Donovan,44
Hammerton,44
Tennessee,44
Truscott,44
Barnes,43
Betty Rose,43
California,43
Monsieur,43
Bennett,42
Boob,42
Europe,42
John Plow,42
Peter Burns,42
South,42
WIFE,42
Andy,41
Border Wolf,41
Boss,41
Carl,41
Madame,41
Seab,41
Seth,41
Gerald,40
Happy,40
Ireland,40
Irishwoman,40
Judith,40
Susie,40
Aunt Sarah,39
Graham,39
Henriette,39
Molly,39
Santa Claus,39
Anna,38
Dickie,38
Jack Gilbert,38
Mabel,38
Melissa,38
Nature,38
Trenton,38
Tubby,38
Wolf,38
Love,37
Bess,36
Birnie,36
Davy,36
Fanny,36
Hank,36
John Freeman,36
Julie,36
Lily,36
Miss Dorothea,36
Moira,36
Bannon,35
Barton,35
Joel,35
John Shaw,35
Junior,35
Meg,35
Miss Nettie,35
Santa,35
Burwell,34
Daniel,34
Mama,34
Mr. Gilligan,34
Perkins,34
Smith,34
Uncle Earle,34
