filename,tokencount,nercount
8d12cf0a053f61fa0450c09ef1402bfd.txt,4166,89
8744c791b290a173ef5fe3850c3ad547.txt,1287,19
57c39ae6aa8b7df90b16664289e4c593.txt,1938,29
568a2b6a41bf9092e0dd7f8de88f5936.txt,4389,70
0aa538a298829f14ed138e972648d7a6.txt,584,7
114de9a2ca92c8fdbb7d0e7cc9661123.txt,1887,62
e47b755864e7071db3c1be7857432b86.txt,2119,46
418c24e8cf7a883da194f7da817b0af2.txt,3942,34
c6fb6950897dfde9d429708cbe3a5d8a.txt,2428,25
a79c2a139c3ded9fb856be8e9d3ad7bf.txt,2527,55
fe7f60669ba9d4efc2ee5a3716bf6e62.txt,2348,12
047548c6bbbeca8f096f58ac751c871a.txt,1855,47
b63dbdef9b3d7eeae0dda6da308fad61.txt,2960,75
5089ab1d6bd908334f292451ed7bd65f.txt,3207,69
8d834f5a02abe82a8e7a627073fa3210.txt,4726,116
5dba74e5597d17e6573b4487ce5ad332.txt,1334,45
a509385f03f629c3ba712e73af8778d0.txt,1845,35
6f1518343705a6a6460b21057769756c.txt,2337,35
2d355c549274e57952d65eb1fbd009d5.txt,1103,13
fe664c980510043f51ac0e81442f173e.txt,3182,124
a5100024f7a7c0eba541c6460e641003.txt,3354,73
0ae4c62e6cb2f05cc6cf6938df4d50c0.txt,4290,82
a79d5df24d43cccc4db71bcdd7fc940e.txt,1412,25
ee6b60d1daab76753c241fa7af217e00.txt,3224,63
b5e80a4c3b84c620e21281296907070f.txt,4036,63
99c56e3374ac37b1ff07c096f3a91de4.txt,2515,59
e5c370dd371685b20c1ff4846a3bbe55.txt,1339,24
34d080ea2869c365d6f8339f74718374.txt,669,11
3ac32a9f6e4c68b4652e3b96ebc51635.txt,622,11
85293ce50327f6b61dc6e26d886d16b0.txt,873,14
93a9b3a4f0b68bd75b90fb01871eea4f.txt,1656,26
2e7c722956f7fe3fce4c071f0cb10b5e.txt,1239,38
e8c46bc142d4805193b67ded6566151c.txt,2733,28
7ba32df7f52457787509ff11b47e3c0f.txt,623,12
82cf31dc71de361070b96e3f826ef3a5.txt,1541,9
ecf944708003fbcb70038f3de07b6a97.txt,1618,31
2372d2fc68950456671d13c6f87a780b.txt,427,13
e5efb7a7a5cb5d50390fca3c3488a3c6.txt,2389,41
1c029c1f452e02cfe784c069baf664a5.txt,2914,131
f0f268f96371663f6de4a1cef330c00e.txt,1089,16
7dbd1360f79a74fcd36100e4b1166958.txt,2265,56
661c7a32d24e725e652535678e5e3d3d.txt,1332,14
7118af29fb3ea46b5b2293bd8f83113d.txt,2013,66
c8e7856ceb81038060433159cd21d59f.txt,580,21
ec23bcb8e588ca244303f1df18c29ef1.txt,2581,53
fb7c51e997f843a19ad142741e4a712d.txt,580,15
66df65ac403a82bf797d5cafc8d3d707.txt,187,4
0632e13be47ff382d04208c459d9abab.txt,2218,54
976ca9fc126c3b8f76b8dabf3e9a1b0a.txt,1264,24
b9fe1715a1367fa5487ba149fcd4b46f.txt,1567,40
ec2627d34c0ddcebfe0ffd35e9d5f84c.txt,326,4
dfef1134eafabf18c2b327e32b29e74e.txt,1649,28
c3d9eff8121afad085b9caf48b3e201a.txt,3313,41
bd6ad478c2704479bbbf9de3cb5a1ba8.txt,430,8
cb99c4a1db3b00015926783c3191a43d.txt,1909,28
8a3031e603f48cc0c22cf95acd21c33e.txt,1654,52
e70c87378a8a46c198340ce25d13dd52.txt,3865,96
50d2a46124a67e7f56be78883cacb1f3.txt,580,11
1d5976e994c34bd5c388b80806bcc39b.txt,3943,152
fb7604408a388794c7ae5cf0bedf7f56.txt,1593,29
3eefb1c6ce4e08b5bea05a124b11e7a3.txt,3738,130
b64add1c3b87e93def1be220d5c0f47f.txt,1632,47
f7dcbcff4756f42b8f0e85e231fb9d1c.txt,1780,31
e2b0340e390af970cb581e6ea3bc9d20.txt,1274,33
9c2277fd64d05b18406e66686d236bd9.txt,553,9
2c64c1bda2b62c204f443257d13e4236.txt,498,14
62be1dbd3a6a9a05492a22783baefc52.txt,3418,70
ac56f696204479a046bd5ba60de49a5c.txt,2116,20
e958752be2e5d45305b164fadc4e8bc6.txt,1487,44
e10249811abe8694e286a4146c373b87.txt,3459,71
e2f1491972e60f4d8c2e8eff6ac5cffe.txt,2620,51
eb911f72ad45a59cbe2b9221f230b49a.txt,1301,27
58dd2e745e84f942c486a5f47ced59d7.txt,516,16
c3240f80049b79f268e7454b6b5d1d49.txt,1817,29
8ae4198d54d53d8e57e639e849a0e9ef.txt,4287,103
aadbca2141843b89ac1521f4ce9bc70f.txt,1727,46
7962d3f3707497df2a563aca646d84b3.txt,1366,27
bb37e728b2e5b4ccf075c705b4956090.txt,4002,85
5ca4e9e2773476be747aff37c29f2ccc.txt,3714,48
8f691201b57ee0d542bdec085c7c00ac.txt,680,24
113e0d436b3ca1c2ff93682f97a086e6.txt,2488,39
d6f120914e735a9ec5b8ac7477c1ae43.txt,2198,57
6dec69205bc9e8350288fde0b302f527.txt,3857,114
befe72218523b0f8315d1db228297198.txt,1809,31
e9dc85b89f40d3e92dc6b85f611150c7.txt,2116,38
20ca2c478c1c9d3c20deed6ec7e79952.txt,1511,22
b0ac8bc2750b06d535aa0be24922128c.txt,219,6
95d02eac9182a5136f918408f4307791.txt,2718,85
d0795d184518b94c50865387a0981385.txt,2221,47
140bb541e37bbea0c3a55afb502ef369.txt,612,12
53de4df78c92cdb4b225e108da1da1bb.txt,2229,63
